weekday,day,month,year,time,aircraft_type,num_of_engines,engine_type,engine_model,years_active,airframe_hrs,operator,occupants,accident_loc,above_ocean,flight_phase,damage,accident_latitude,accident_longtitude,fatalities
1,11.0,1,1948,13.56666667,137,2.0,1,80,6.0,7122.0,785,32.0,51,0,5.0,3.0,18.7666,-70.01666,32.0
4,21.0,1,1948,4.283333333,222,4.0,1,119,1.0,1499.0,821,25.0,188,0,6.0,3.0,42.364347,-71.005181,0.0
7,7.0,2,1948,13.15,222,4.0,1,119,1.0,1522.0,821,69.0,188,0,5.0,2.0,30.6,-79.0,1.0
3,10.0,2,1948,13.56666667,137,2.0,1,80,3.0,3561.0,1201,19.0,84,0,5.0,4.0,-6.810314,107.445322,19.0
6,20.0,2,1948,13.66666667,137,2.0,1,80,6.0,7122.0,43,10.0,89,0,7.0,3.0,43.58,10.44,7.0
7,21.0,2,1948,13.56666667,197,6.0,1,118,0.0,0.0,1273,19.0,63,0,5.0,3.0,49.6,-0.92,19.0
6,27.0,2,1948,13.56666667,137,2.0,1,80,4.0,4748.0,940,26.0,25,0,5.0,3.0,-1.5,-50.43,23.0
3,2.0,3,1948,13.56666667,137,2.0,1,80,1.0,1187.0,1785,22.0,187,0,7.0,3.0,51.4775,-0.461389,20.0
6,12.0,3,1948,21.23333333,138,4.0,1,81,3.0,3306.0,1524,30.0,188,0,5.0,3.0,62.213889,-144.128889,30.0
2,15.0,3,1948,13.56666667,137,2.0,1,80,5.0,5935.0,183,15.0,37,0,5.0,4.0,4.886944,-73.72527,14.0
7,1.0,5,1948,10.76666667,139,4.0,1,83,0.0,0.0,1202,5.0,123,0,3.0,3.0,52.299,4.7845,0.0
5,17.0,6,1948,12.68333333,139,4.0,1,83,1.0,1245.0,2198,43.0,188,0,5.0,4.0,40.828,-76.372,43.0
5,1.0,7,1948,12.33333333,160,3.0,1,80,0.0,19.0,472,12.0,18,0,7.0,3.0,51.0035,4.6722,8.0
1,4.0,7,1948,15.05,33,4.0,1,97,16.320683111964417,19379.0,1722,7.0,187,0,5.0,4.0,51.60937,-0.425393,7.0
4,14.0,7,1948,8.75,137,2.0,1,80,4.0,4748.0,565,6.0,63,0,7.0,4.0,43.067174,5.844768,6.0
3,20.0,7,1948,13.56666667,258,4.0,1,106,0.0,0.0,1781,5.0,63,0,7.0,4.0,48.771443,2.234537,5.0
1,25.0,7,1948,1.0,137,2.0,1,80,4.0,4748.0,2206,2.0,68,0,7.0,3.0,52.4769,13.3325,2.0
1,1.0,8,1948,13.56666667,197,6.0,1,118,0.75,35.0,222,52.0,9,1,5.0,5.0,16.8886,-35.244,52.0
2,9.0,8,1948,8.75,137,2.0,1,80,3.0,3561.0,1494,2.0,125,0,5.0,3.0,-41.3199,174.23655,2.0
5,12.0,8,1948,13.56666667,92,4.0,1,97,1.0,1187.0,2110,17.0,30,0,6.0,3.0,46.161388,-60.047779,0.0
5,19.0,8,1948,17.75,137,2.0,1,80,5.0,5236.0,1660,3.0,10,0,3.0,2.0,-27.569525,153.006467,0.0
3,31.0,8,1948,13.56666667,137,2.0,1,80,4.0,3040.0,1785,13.0,47,0,5.0,4.0,-11.1333,27.4834,13.0
3,7.0,9,1948,16.0,137,2.0,1,80,6.0,7122.0,1991,7.0,89,0,6.0,3.0,41.799361,12.594936,0.0
4,17.0,11,1948,13.56666667,137,2.0,1,80,3.0,3561.0,1722,4.0,68,0,7.0,3.0,52.410763,13.515657,4.0
7,20.0,11,1948,13.56666667,137,2.0,1,80,6.0,7122.0,1397,14.0,63,0,7.0,3.0,48.725278,2.359444,0.0
2,6.0,12,1948,10.5,137,2.0,1,80,6.0,7122.0,472,7.0,89,0,3.0,3.0,45.445103,9.276739,7.0
5,9.0,12,1948,17.41666667,117,2.0,1,83,0.33024431339511373,392.0,1575,41.0,43,0,3.0,2.0,22.989153,-82.409086,0.0
4,15.0,12,1948,13.56666667,137,2.0,1,80,5.0,5935.0,1290,30.0,37,0,5.0,3.0,4.700295,-74.471051,30.0
3,21.0,12,1948,16.61666667,137,2.0,1,80,4.0,4748.0,603,24.0,70,0,5.0,3.0,36.913,21.706577,24.0
5,23.0,12,1948,13.56666667,137,2.0,1,80,6.0,7122.0,1097,27.0,164,0,5.0,3.0,41.03244,0.47095,27.0
6,31.0,12,1948,17.86666667,137,2.0,1,80,4.0,4748.0,1573,13.0,89,0,5.0,4.0,42.43648,11.16618,13.0
1,2.0,1,1949,22.05,137,2.0,1,80,6.0,5419.0,1822,30.0,188,0,3.0,3.0,47.53,-122.301947,14.0
7,8.0,1,1949,20.5,137,2.0,1,80,6.0,7122.0,188,3.0,63,0,6.0,3.0,45.727172,4.944275,0.0
2,17.0,1,1949,13.56666667,46,4.0,1,55,1.333333333,1582.666666271,515,4.0,188,0,3.0,3.0,37.648,-97.434,1.0
5,20.0,1,1949,20.08333333,137,2.0,1,80,5.0,8051.0,353,6.0,188,0,5.0,4.0,59.9798,-151.06924,5.0
5,24.0,2,1949,13.56666667,137,2.0,1,80,5.0,5935.0,642,23.0,79,0,7.0,3.0,22.28,114.2,23.0
4,2.0,3,1949,2.733333333,138,4.0,1,81,5.0,7883.0,2124,33.0,30,0,6.0,2.0,48.936944,-54.568056,0.0
5,7.0,4,1949,13.25,34,4.0,1,97,16.320683111964417,19379.0,1660,8.0,10,0,6.0,4.0,-32.216667,148.574722,0.0
7,7.0,5,1949,13.56666667,137,2.0,1,80,4.0,4748.0,1613,13.0,140,0,5.0,3.0,14.273473,122.027976,13.0
2,6.0,6,1949,13.56666667,137,2.0,1,80,6.0,7122.0,2062,22.0,70,0,5.0,3.0,38.257526,23.919897,22.0
2,6.0,6,1949,14.0,137,2.0,1,80,4.0,4748.0,940,28.0,25,0,5.0,3.0,-27.683333,-48.766667,28.0
4,22.0,6,1949,13.21666667,117,2.0,1,83,0.0,0.0,382,44.0,188,0,3.0,3.0,35.042417,-89.976667,0.0
5,23.0,6,1949,10.91666667,222,4.0,1,119,2.0,2374.0,1202,33.0,89,0,5.0,4.0,41.16,16.808,33.0
2,11.0,7,1949,13.56666667,137,2.0,1,80,6.0,7122.0,1074,11.0,79,0,3.0,3.0,22.30287,114.217,0.0
3,12.0,7,1949,13.56666667,222,4.0,1,119,2.0,3381.0,1202,45.0,82,0,7.0,4.0,19.11,72.909,45.0
2,15.0,8,1949,2.666666667,138,4.0,1,81,6.0,7122.0,2130,58.0,87,0,5.0,3.0,52.883013,-9.667969,8.0
6,9.0,9,1949,10.75,137,2.0,1,80,7.0,8309.0,616,23.0,30,0,5.0,3.0,47.2006,-70.6383,23.0
6,28.0,10,1949,13.56666667,222,4.0,1,119,2.0,3394.0,222,48.0,142,0,7.0,4.0,37.804167,-25.224722,48.0
1,20.0,11,1949,16.93333333,137,2.0,1,80,5.0,1697.0,60,35.0,132,0,7.0,4.0,59.615278,10.575,34.0
3,29.0,11,1949,5.816666667,139,4.0,1,83,2.0,5260.0,382,46.0,188,0,7.0,3.0,32.8522,-96.8586,28.0
2,12.0,12,1949,20.68333333,137,2.0,1,117,9.0,27396.0,619,23.0,188,0,7.0,3.0,38.83801,-77.03284,6.0
1,18.0,12,1949,20.5,137,2.0,1,80,6.0,7122.0,1785,8.0,63,0,5.0,3.0,48.96,2.494,8.0
4,21.0,12,1949,13.56666667,137,2.0,1,80,6.0,7122.0,203,24.0,82,0,6.0,3.0,10.765364,78.709722,0.0
1,1.0,1,1950,0.95,213,2.0,1,80,2.1617523167649537,2566.0,1186,2.0,10,0,4.0,4.0,-34.036262,150.696124,2.0
5,2.0,2,1950,4.916666667,137,2.0,1,80,6.0,7122.0,1202,7.0,9,1,5.0,4.0,52.3,3.5,7.0
4,1.0,3,1950,15.41666667,137,2.0,1,80,8.0,9496.0,1914,4.0,37,0,6.0,3.0,6.219958,-75.590519,2.0
1,12.0,3,1950,14.83333333,36,4.0,1,97,3.0,3561.0,885,83.0,187,0,7.0,4.0,51.433023,-3.473997,80.0
7,25.0,3,1950,13.56666667,137,2.0,1,80,6.0,7122.0,768,15.0,179,0,6.0,3.0,39.949831,32.688622,15.0
3,28.0,3,1950,13.56666667,137,2.0,1,80,5.0,5935.0,2206,7.0,30,0,6.0,3.0,48.544167,-58.549999,0.0
3,28.0,3,1950,13.56666667,197,6.0,1,118,3.833333333,20.0,1778,12.0,63,0,5.0,4.0,44.81,-1.38,12.0
3,2.0,5,1950,14.5,137,2.0,1,80,8.0,9496.0,457,15.0,53,0,5.0,4.0,-1.324,-78.89,15.0
4,24.0,5,1950,13.56666667,137,2.0,1,80,7.0,8309.0,1290,27.0,37,0,5.0,3.0,1.2242,-77.35,26.0
6,26.0,5,1950,16.0,137,2.0,1,80,6.0,7122.0,2223,41.0,25,0,3.0,3.0,-23.626692,-46.655375,0.0
2,5.0,6,1950,22.05,124,2.0,1,83,5.0,2890.0,2285,65.0,9,1,5.0,3.0,27.85,-75.366667,28.0
6,23.0,6,1950,23.41666667,138,4.0,1,81,7.0,15902.0,1525,58.0,188,0,5.0,3.0,42.37351,-86.56574,58.0
2,24.0,7,1950,13.56666667,137,2.0,1,80,7.0,8309.0,245,28.0,88,0,5.0,2.0,33.2,35.57,3.0
4,30.0,8,1950,13.56666667,137,2.0,1,80,5.0,5935.0,1722,10.0,134,1,5.0,3.0,2.979468,105.55503,9.0
3,12.0,9,1950,13.56666667,137,2.0,1,80,6.0,7122.0,2206,5.0,188,0,5.0,3.0,61.474167,-150.735278,5.0
